query_800	Who likes Sesame Oil?
query_1028	Who likes Buckwheat?
query_1029	Who likes Musicians?
query_1030	Who likes Meerkats?
query_1031	Who likes Storytelling?
query_1032	Who likes East Asian Calligraphy?
query_1033	Who likes Bammy?
query_1034	Who likes Sponge Cakes?
query_1035	Who likes Licorice?
query_1036	Who likes Watering Cans?
query_1037	Who likes Mentoring?
query_1038	Who likes Batteries?
query_1039	Who likes All-Purpose Flour?
query_1040	Who likes Aloe Vera?
query_1041	Who likes Physics?
query_1042	Who likes Drills?
query_1043	Who likes The Sound of Birdsong?
query_1044	Who likes Judo?
query_1045	Who likes Okapi?
query_1046	Who likes Moon Pies?
query_1047	Who likes Spades?
query_1048	Who likes Banana Chips?
query_1049	Who likes Cards Against Humanity?
query_1050	Who likes World music?
query_1051	Who likes Vacuum Cleaners?
query_1052	Who likes Jelly?
query_1053	Who likes Santa's Reindeer?
query_1054	Who likes Cornbread?
query_1055	Who likes Lobsters?
query_1056	Who likes Binturongs?
query_1057	Who likes Minimalist music?
query_1058	Who likes Cod?
query_1059	Who likes Quinoa?
query_1060	Who likes Dark Chocolate?
query_1061	Who likes Playfulness?
query_1062	Who likes Pomegranates?
query_1063	Who likes Snorkeling?
query_1064	Who likes Pepperoni Pizzas?
query_1065	Who likes Safety Goggles?
query_1066	Who likes Blueberries?
query_1067	Who likes Oatmeal Creme Pies?
query_1068	Who likes Hematite?
query_1069	Who likes Checkers?
query_1070	Who likes Janitors?
query_1071	Who likes Softball?
query_1072	Who likes Art Deco?
query_1073	Who likes Artichokes?
query_1074	Who likes Quilts?
query_1075	Who likes Crossword Puzzles?
query_1076	Who likes Tae Kwon Do?
query_1077	Who likes Guacamole?
query_1078	Who likes Paneer?
query_1079	Who likes Interest?
query_1080	Who likes Medical Dramas?
query_1081	Who likes Daydreaming?
query_1082	Who likes Violets?
query_1083	Who likes Bed Sheets?
query_1084	Who likes Karate?
query_1085	Who likes Dippin' Dots?
query_1086	Who likes Vegetable Oil?
query_1087	Who likes Agave Nectar?
query_1088	Who likes Blue Swedish Ducks?
query_1089	Who likes Acacia Trees?
query_1090	Who likes Knot Tying?
query_1091	Who likes Red Wine Vinegar?
query_1092	Who likes Angel Food Cakes?
query_1093	Who likes Damselflies?
query_1094	Who likes Pillows?
query_1095	Who likes Bowling?
query_1096	Who likes Giant Isopods?
query_1097	Who likes Didgeridoos?
query_1098	Who likes The Feeling of a Smooth Stone?
query_1099	Who likes Jackets?
query_1100	Who likes Northern Cardinals?
query_1101	Who likes Oat Milk?
query_1102	Who likes Talk Shows?
query_1103	Who likes Hoodies?
query_1104	Who likes Okra?
query_1105	Who likes Bat Flowers?
query_1106	Who likes Slushies?
query_1107	Who likes Anthropology?
query_1108	Who likes Wood Burning?
query_1109	Who likes Turnovers?
query_1110	Who likes Old World Fruit Bats?
query_1111	Who likes Plateaus?
query_1112	Who likes Pine Trees?
query_1113	Who likes Towels?
query_1114	Who likes Milk Chocolate?
query_1115	Who likes Swiss Rolls?
query_1116	Who likes Tablecloths?
query_1117	Who likes Cricket?
query_1118	Who likes Harmonicas?
query_1119	Who likes Grease Ants?
query_1120	Who likes Carpenter Bees?
query_1121	Who likes Blackberries?
query_1122	Who likes Euphoria?
query_1123	Who likes Fishers?
query_1124	Who likes Mousse?
query_1125	Who likes Billiards?
query_1126	Who likes Artic Loons?
query_1127	Who likes Chai Tea?
query_1128	Who likes Trumpets?
query_1129	Who likes Asymmetry?
query_1130	Who likes Copper?
query_1131	Who likes Fantasy Movies?
query_1132	Who likes Pickles?
query_1133	Who likes Nutty Buddies?
query_1134	Who likes Learning a New Language?
query_1135	Who likes Tuning Forks?
query_1136	Who likes Cacti?
query_1137	Who likes Luna Moths?
query_1138	Who likes Shortbread?
query_1139	Who likes Hills?
query_1140	Who likes Quokkas?
query_1141	Who likes Beavers?
query_1142	Who likes Red Pandas?
query_1143	Who likes Tablets?
query_1144	Who likes Pandemic?
query_1145	Who likes Penne?
query_1146	Who likes Penguins?
query_1147	Who likes Water Skiing?
query_1148	Who likes Tie-dye?
query_1149	Who likes Wrenches?
query_1150	Who likes Honey Bees?
query_1151	Who likes Teamwork?
query_1152	Who likes Visiting Zoos?
query_1153	Who likes Vegan Cheese Pizza?
query_1154	Who likes the Los Angeles Angels?
query_1155	Who likes Fir Trees?
query_1156	Who likes Organization?
query_1157	Who likes Kite Flying?
query_1158	Who likes Millet?
query_1159	Who likes Satisfaction?
query_1160	Who likes Loyalty?
query_1161	Who likes Scrabble?
query_1162	Who likes Documentary Films?
query_1163	Who likes Crepes?
query_1164	Who likes Deviled Eggs?
query_1165	Who likes Auroras?
query_1166	Who likes the Atlanta Braves?
query_1167	Who likes Homesteading?
query_1168	Who likes Catnip?
query_1169	Who likes Limeade?
query_1170	Who likes Hamsters?
query_1171	Who likes Leaf Peeping?
query_1172	Who likes Cornmeal?
query_1173	Who likes Sorghum?
query_1174	Who likes Law?
query_1175	Who likes Halloumi?
query_1176	Who likes Interior Design?
query_1177	Who likes Kabobs?
query_1178	Who likes Sweet Muffins?
query_1179	Who likes Prepared Mustard?
query_1180	Who likes Editors?
query_1181	Who likes Red Foxes?
query_1182	Who likes Post-Impressionism?
query_1183	Who likes Baroque Art?
query_1184	Who likes Glassblowing?
query_1185	Who likes Fish and Chips?
query_1186	Who likes Flying Drones?
query_1187	Who likes Stud Finders?
query_1188	Who likes French Horns?
query_1189	Who likes Tailors?
query_1190	Who likes Envelopes?
query_1191	Who likes Historical Fiction?
query_1192	Who likes Grapefruits?
query_1193	Who likes Wolverines?
query_1194	Who likes Mace?
query_1195	Who likes Tomato Juice?
query_1196	Who likes Macaws?
query_1197	Who likes Garlic?
query_1198	Who likes Marigolds?
query_1199	Who likes Field Hockey?
query_1200	Who likes Stained Glass?
query_1201	Who likes Coconut Macaroons?
query_1202	Who likes Cottage Cheese?
query_1203	Who likes Flutes?
query_1204	Who likes Cognitive Science?
query_1205	Who likes the San Diego Padres?
query_1206	Who likes Goats?
query_1207	Who likes Pears?
query_1208	Who likes Caulking Guns?
query_1209	Who likes Porcupines?
query_1210	Who likes Ovens?
query_1211	Who likes Radishes?
query_1212	Who likes Beets?
query_1213	Who likes Artic Wolves?
query_1214	Who likes Street Photography?
query_1215	Who likes Birch Trees?
query_1216	Who likes Custard?
query_1217	Who likes Broccoli?
query_1218	Who likes the Arizona Cardinals?
query_1219	Who likes Thin Mints?
query_1220	Who likes Seitan?
query_1221	Who likes Mindfulness?
query_1222	Who likes Putty Knives?
query_1223	Who likes Dogwood Trees?
query_1224	Who likes Disco Music?
query_1225	Who likes Chairs?
query_1226	Who likes the Green Bay Packers?
query_1227	Who likes Matcha Lattes?
query_1228	Who likes Ice Cream Sandwiches?
query_1229	Who likes Boa Constrictors?
query_1230	Who likes Paella?
query_1231	Who likes The Feeling of Cool Water?
query_1232	Who likes Graffiti Art?
query_1233	Who likes Fauvism?
query_1234	Who likes Horchata?
query_1235	Who likes Neptune?
query_1236	Who likes Paper?
query_1237	Who likes Epiphanies?
query_1238	Who likes Caramel Sauce?
query_1239	Who likes Sponges?
query_1240	Who likes Paleontologists?
query_1241	Who likes Gregorian chants?
query_1242	Who likes Pitcher Plants?
query_1243	Who likes Baked Potatoes?
query_1244	Who likes Saffron?
query_1245	Who likes Chinchillas?
query_1246	Who likes Gravy?
query_1247	Who likes Bass Guitars?
query_1248	Who likes Psychology?
query_1249	Who likes Belts?
query_1250	Who likes Building Sandcastles?
query_1251	Who likes Anteaters?
query_1252	Who likes The Feeling of Soft Grass?
query_1253	Who likes Fugues?
query_1254	Who likes The Big Dipper?
query_1255	Who likes Doctors?
query_1256	Who likes Trampolining?
query_1257	Who likes Cherries?
query_1258	Who likes Memoirs?
query_1259	Who likes Dadaism?
query_1260	Who likes Banjos?
query_1261	Who likes Highlighters?
query_1262	Who likes Popcorn?
query_1263	Who likes Sesame Seeds?
query_1264	Who likes The Andromeda Galaxy?
query_1265	Who likes Pole Dancing?
query_1266	Who likes Marksmanship?
query_1267	Who likes Chips Ahoy!?
query_1268	Who likes Dystopian Fiction?
query_1269	Who likes Hairdressers?
query_1270	Who likes the New York Jets?
query_1271	Who likes Respect?
query_1272	Who likes Ghost Ants?
query_1273	Who likes Filmmaking?
query_1274	Who likes Bamboo?
query_1275	Who likes Metronomes?
query_1276	Who likes Ice Hockey?
query_1277	Who likes Coral Reefs?
query_1278	Who likes Dustpans?
query_1279	Who likes Ivy?
query_1280	Who likes Fennec Foxes?
query_1281	Who likes Inspiration?
query_1282	Who likes Citrine?
query_1283	Who likes Ikigai?
query_1284	Who likes Risk?
query_1285	Who likes Argentine Ants?
query_1286	Who likes Sandals?
query_1287	Who likes Mangoes?
query_1288	Who likes Snapdragons?
query_1289	Who likes Cobras?
query_1290	Who likes the Kansas City Royals?
query_1291	Who likes Alfajores?
query_1292	Who likes Tapirs?
query_1293	Who likes Lamps?
query_1294	Who likes Tai Chi?
query_1295	Who likes Tobogganing?
query_1296	Who likes Hydrangeas?
query_1297	Who likes Crickets?
query_1298	Who likes Smoothies?
query_1299	Who likes Picnicking?
query_1300	Who likes Pita Bread?
query_1301	Who likes Stir-fries?
query_1302	Who likes Twister?
query_1303	Who likes Gladiolus?
query_1304	Who likes Skip-Bo?
query_1305	Who likes Scorpions?
query_1306	Who likes The Victorian Era?
query_1307	Who likes Pancakes?
query_1308	Who likes Black Bears?
query_1309	Who likes Patterns?
query_1310	Who likes Photorealism?
query_1311	Who likes Souffles?
query_1312	Who likes Ding Dongs?
query_1313	Who likes Dumplings?
query_1314	Who likes Mazes?
query_1315	Who likes Food Coloring?
query_1316	Who likes Shaved Ice?
query_1317	Who likes Soccer?
query_1318	Who likes Building Snowmen?
query_1319	Who likes Green Bell Peppers?
query_1320	Who likes Iceberg Lettuce?
query_1321	Who likes Gin Rummy?
query_1322	Who likes White Vinegar?
query_1323	Who likes Cumin?
query_1324	Who likes Mallards?
query_1325	Who likes Croquet?
query_1326	Who likes Wabi-sabi?
query_1327	Who likes Focaccia?
query_1328	Who likes Doors?
query_1329	Who likes Robins?
query_1330	Who likes Welwitschia Mirabilis?
query_1331	Who likes Udon Noodles?
query_1332	Who likes Sculpting?
query_1333	Who likes Bundt Cakes?
query_1334	Who likes Jenga?
query_1335	Who likes Violins?
query_1336	Who likes Black Forest Cakes?
query_1337	Who likes Shepherd's Pies?
query_1338	Who likes Drama Literature?
query_1339	Who likes Composting?
query_1340	Who likes Techno Music?
query_1341	Who likes Vindication?
query_1342	Who likes Glockenspiels?
query_1343	Who likes Racing Video Games?
query_1344	Who likes Manchego?
query_1345	Who likes Olives?
query_1346	Who likes Wonder?
query_1347	Who likes Sun?
query_1348	Who likes Sketching?
query_1349	Who likes Great White Sharks?
query_1350	Who likes Courage?
query_1351	Who likes Bleeding Hearts?
query_1352	Who likes Grizzly Bears?
query_1353	Who likes Apple Juice?
query_1354	Who likes Hemlock Trees?
query_1355	Who likes Dominoes?
query_1356	Who likes Mimas?
query_1357	Who likes Cobblers?
query_1358	Who likes Titan Arums?
query_1359	Who likes Swamps?
query_1360	Who likes Fettuccine Alfredo?
query_1361	Who likes Amethyst?
query_1362	Who likes Handbags?
query_1363	Who likes Habaneros?
query_1364	Who likes DJing?
query_1365	Who likes the Milwaukee Brewers?
query_1366	Who likes Bow Ties?
query_1367	Who likes Perseverance?
query_1368	Who likes Frilled Sharks?
query_1369	Who likes Pound Cakes?
query_1370	Who likes Yeast?
query_1371	Who likes Strategy Video Games?
query_1372	Who likes Muenster?
query_1373	Who likes Blacksmiths?
query_1374	Who likes Glasswing Butterflies?
query_1375	Who likes Spelt?
query_1376	Who likes Conceptual Art?
query_1377	Who likes Wood Carving?
query_1378	Who likes Sci-Fi Movies?
query_1379	Who likes Tarts?
query_1380	Who likes Stand-up Paddleboarding?
query_1381	Who likes The Sound of Ocean Waves?
query_1382	Who likes Action Movies?
query_1383	Who likes Iron?
query_1384	Who likes Chemists?
query_1385	Who likes Chinese Five Spice?
query_1386	Who likes New-age music?
query_1387	Who likes Black Eye Galaxy?
query_1388	Who likes Bison?
query_1389	Who likes Amusement?
query_1390	Who likes Naan Bread?
query_1391	Who likes Omelettes?
query_1392	Who likes Hedgehogs?
query_1393	Who likes Lakes?
query_1394	Who likes Raspberries?
query_1395	Who likes Homebrewing?
query_1396	Who likes Comedy Literature?
query_1397	Who likes Backgammon?
query_1398	Who likes Pharmacology?
query_1399	Who likes Pluto?
query_1400	Who likes Western Movies?
query_1401	Who likes the Arizona Diamondbacks?
query_1402	Who likes Nostalgia?
query_1403	Who likes Biomedical Engineering?
query_1404	Who likes Snow Leopards?
query_1405	Who likes Buckets?
query_1406	Who likes Landscape Photography?
query_1407	Who likes Mechanics?
query_1408	Who likes Corn Tortillas?
query_1409	Who likes Blue-ringed Octopus?
query_1410	Who likes the Texas Rangers?
query_1411	Who likes 3D Modeling?
query_1412	Who likes the Pittsburgh Pirates?
query_1413	Who likes Quail Meat?
query_1414	Who likes Sausages?
query_1415	Who likes Frozen Yogurt?
query_1416	Who likes Eclairs?
query_1417	Who likes Tiramisu?
query_1418	Who likes The Game of Life?
query_1419	Who likes Black Beans?
query_1420	Who likes Cola Soda?
query_1421	Who likes Iced Coffee?
query_1422	Who likes Beds?
query_1423	Who likes Arepas?
query_1424	Who likes Lifeguards?
query_1425	Who likes Pothos?
query_1426	Who likes Meditation?
query_1427	Who likes Ambient Music?
query_1428	Who likes Saiga Antelopes?
query_1429	Who likes Pita Chips?
query_1430	Who likes The Bronze Age?
query_1431	Who likes Dunes?
query_1432	Who likes Playwriting?
query_1433	Who likes Digital Art?
query_1434	Who likes Armadillos?
query_1435	Who likes Beachcombing?
query_1436	Who likes Dolphins?
query_1437	Who likes Biscotti?
query_1438	Who likes Vises?
query_1439	Who likes Hot Sauce?
query_1440	Who likes Beanies?
query_1441	Who likes Marshmallows?
query_1442	Who likes Blankets?
query_1443	Who likes Rice Puddings?
query_1444	Who likes Lantanas?
query_1445	Who likes Sea Pens?
query_1446	Who likes Doves?
query_1447	Who likes Almond Milk?
query_1448	Who likes Star Clusters?
query_1449	Who likes Goblin Sharks?
query_1450	Who likes The Roaring Twenties?
query_1451	Who likes Pliers?
query_1452	Who likes Ties?
query_1453	Who likes Asparagus?
query_1454	Who likes Cayenne Pepper?
query_1455	Who likes Ultimate Frisbee?
query_1456	Who likes Stag Beetles?
query_1457	Who likes Integrity?
query_1458	Who likes Strudels?
query_1459	Who likes Bedroom Curtains?
query_1460	Who likes Kidney Beans?
query_1461	Who likes The Feeling of a Fluffy Blanket?
query_1462	Who likes White-tailed Deer?
query_1463	Who likes Equestrianism?
query_1464	Who likes Police Procedurals?
query_1465	Who likes Dill?
query_1466	Who likes The Golden Age of Piracy?
query_1467	Who likes Croissants?
query_1468	Who likes Canola Oil?
query_1469	Who likes Heavy Metal Music?
query_1470	Who likes Churros?
query_1471	Who likes Lotteries?
query_1472	Who likes Waffles?
query_1473	Who likes Servals?
query_1474	Who likes Steak?
query_1475	Who likes Pumpkin Pies?
query_1476	Who likes Extension Cords?
query_1477	Who likes Electronic Music?
query_1478	Who likes Cheesecake?
query_1479	Who likes Zucchini?
query_1480	Who likes Trash Cans?
query_1481	Who likes Maple Syrup?
query_1482	Who likes The Age of Discovery?
query_1483	Who likes Italian Ice?
query_1484	Who likes Pork Chops?
query_1485	Who likes Oceanography?
query_1486	Who likes Alpacas?
query_1487	Who likes Curries?
query_1488	Who likes Egg Noodles?
query_1489	Who likes Dryers?
query_1490	Who likes Glaciers?
query_1491	Who likes Hearts?
query_1492	Who likes Hack Saws?
query_1493	Who likes Poblano Peppers?
query_1494	Who likes Scallops?
query_1495	Who likes Cross-country Skiing?
query_1496	Who likes Poison Dart Frogs?
query_1497	Who likes Parakeets?
query_1498	Who likes Horseshoe Bats?
query_1499	Who likes Turmeric?
query_1500	Who likes Macaroni and Cheese?
query_1501	Who likes Windows?
query_1502	Who likes Architects?
query_1503	Who likes Cheetahs?
query_1504	Who likes Chives?
query_1505	Who likes White Pepper?
query_1506	Who likes Deserts?
query_1507	Who likes Dentists?
query_1508	Who likes Sewing?
query_1509	Who likes Pumpkin Seeds?
query_1510	Who likes Passion Fruits?
query_1511	Who likes Country Music?
query_1512	Who likes Astronomy?
query_1513	Who likes Risotto?
query_1514	Who likes Echidnas?
query_1515	Who likes Button-down Shirts?
query_1516	Who likes Solar Eclipses?
query_1517	Who likes Xylophones?
query_1518	Who likes Espresso?
query_1519	Who likes Coleslaw?
query_1520	Who likes Isthmuses?
query_1521	Who likes Orca Whales?
query_1522	Who likes Metal Detecting?
query_1523	Who likes Prehistory?
query_1524	Who likes Flow State?
query_1525	Who likes Continental Shelves?
query_1526	Who likes Frosting?
query_1527	Who likes Ironing Boards?
query_1528	Who likes Caramel deLites?
query_1529	Who likes Grey Parrots?
query_1530	Who likes Fencing?
query_1531	Who likes Scones?
query_1532	Who likes Romanticism?
query_1533	Who likes Uno?
query_1534	Who likes Nurses?
query_1535	Who likes Cream Puffs?
query_1536	Who likes Trivia?
query_1537	Who likes the Dallas Cowboys?
query_1538	Who likes Apple Cider?
query_1539	Who likes Guavas?
query_1540	Who likes Taiga?
query_1541	Who likes Topaz?
query_1542	Who likes Provolone?
query_1543	Who likes the St. Louis Cardinals?
query_1544	Who likes Sonatas?
query_1545	Who likes Bigfin Reef Squids?
query_1546	Who likes Barbershop quartets?
query_1547	Who likes Dragon Fruits?
query_1548	Who likes Earthworms?
query_1549	Who likes Bumblebees?
query_1550	Who likes Hawks?
query_1551	Who likes Tuxedos?
query_1552	Who likes Palm Trees?
query_1553	Who likes Swimsuits?
query_1554	Who likes Sweaters?
query_1555	Who likes Alternative Rock?
query_1556	Who likes Papier-mache?
query_1557	Who likes Urban Studies?
query_1558	Who likes Pecans?
query_1559	Who likes Pipe Organs?
query_1560	Who likes Gingerbread?
query_1561	Who likes Gerbils?
query_1562	Who likes Turkeys?
query_1563	Who likes Duct Tape?
query_1564	Who likes Painters?
query_1565	Who likes Codenames?
query_1566	Who likes Rugby?
query_1567	Who likes Screwdrivers?
query_1568	Who likes the Los Angeles Dodgers?
query_1569	Who likes Oregano?
query_1570	Who likes Magic: The Gathering?
query_1571	Who likes Polo Shirts?
query_1572	Who likes Flemish Giants?
query_1573	Who likes Moussaka?
query_1574	Who likes Affection?
query_1575	Who likes Electronic Keyboards?
query_1576	Who likes Figure Skating?
query_1577	Who likes Pressure Washers?
query_1578	Who likes Trail Mix?
query_1579	Who likes Mandolins?
query_1580	Who likes Jello?
query_1581	Who likes Tape Measures?
query_1582	Who likes Vanilla?
query_1583	Who likes Fables?
query_1584	Who likes Bearded Dragon Lizards?
query_1585	Who likes Snowshoeing?
query_1586	Who likes Ladybugs?
query_1587	Who likes Elk?
query_1588	Who likes Puppetry?
query_1589	Who likes Mountain Biking?
query_1590	Who likes Rex Rabbit?
query_1591	Who likes Tempeh?
query_1592	Who likes Orange Juice?
query_1593	Who likes Leeks?
query_1594	Who likes Akbari Pistachios?
query_1595	Who likes Compasses?
query_1596	Who likes Mythology?
query_1597	Who likes Sports Video Games?
query_1598	Who likes Cantaloupes?
query_1599	Who likes Poetry Slams?
query_1600	Who likes Axes?
query_1601	Who likes Vases?
query_1602	Who likes Mahjong?
query_1603	Who likes Carnations?
query_1604	Who likes Axolotls?
query_1605	Who likes Holland Lops?
query_1606	Who likes The Sound of a Babbling Brook?
query_1607	Who likes Leaf Blowers?
query_1608	Who likes Composing Music?
query_1609	Who likes Oceanic Trenches?
query_1610	Who likes Hibiscus?
query_1611	Who likes Librarians?
query_1612	Who likes Refrigerators?
query_1613	Who likes Cilantro?
query_1614	Who likes Oreos?
query_1615	Who likes Elephants?
query_1616	Who likes Bracelets?
query_1617	Who likes Planetary Rings?
query_1618	Who likes Meat Lovers Pizza?
query_1619	Who likes French Toast?
query_1620	Who likes Rats?
query_1621	Who likes Venison?
query_1622	Who likes The Elizabethan Era?
query_1623	Who likes The Ming Dynasty?
query_1624	Who likes Public Health?
query_1625	Who likes Multimeters?
query_1626	Who likes X-Rays?
query_1627	Who likes Agriculture Science?
query_1628	Who likes Intuition?
query_1629	Who likes Red Bell Peppers?
query_1630	Who likes Columbines?
query_1631	Who likes Sparrows?
query_1632	Who likes Adventure Video Games?
query_1633	Who likes the Chicago Bears?
query_1634	Who likes the Toronto Blue Jays?
query_1635	Who likes Squirrels?
query_1636	Who likes Basketball?
query_1637	Who likes Root Beer Floats?
query_1638	Who likes Dresses?
query_1639	Who likes Macadamia Nuts?
query_1640	Who likes Macrame?
query_1641	Who likes Spaghetti Bolognese?
