query_0	Who likes Butter?
query_119	Who likes Hermit Crabs?
query_120	Who likes Ham?
query_121	Who likes Bacon?
query_122	Who likes Euchre?
query_123	Who likes Ravines?
query_124	Who likes Acrylic Painting?
query_125	Who likes Caraway?
query_126	Who likes Marine Biology?
query_127	Who likes Ground Beef?
query_128	Who likes Mars?
query_129	Who likes Cleaners?
query_130	Who likes The Silk Road?
query_131	Who likes Community?
query_132	Who likes Cubism?
query_133	Who likes Paper Clips?
query_134	Who likes Brown Sugar?
query_135	Who likes Synthesizers?
query_136	Who likes Burritos?
query_137	Who likes Joshua Trees?
query_138	Who likes Trout?
query_139	Who likes Mayonnaise?
query_140	Who likes Kickboxing?
query_141	Who likes the Cincinnati Reds?
query_142	Who likes Ocelots?
query_143	Who likes Jackfish?
query_144	Who likes Synchronized Swimming?
query_145	Who likes Hammerhead Sharks?
query_146	Who likes Lapis Lazuli?
query_147	Who likes True Crime?
query_148	Who likes Honduran White Bats?
query_149	Who likes Tacos?
query_150	Who likes Monarch Butterflies?
query_151	Who likes Albatrosses?
query_152	Who likes Pianos?
query_153	Who likes Cotton Candy?
query_154	Who likes Horror Movies?
query_155	Who likes Abstract Expressionism?
query_156	Who likes The Smell of Fresh-Cut Grass?
query_157	Who likes Electricians?
query_158	Who likes White Sugar?
query_159	Who likes Ice Cream Sundaes?
query_160	Who likes Hot Fudge?
query_161	Who likes Neuroscience?
query_162	Who likes Gorges?
query_163	Who likes Ferrets?
query_164	Who likes Elm Trees?
query_165	Who likes Poppy Seed?
query_166	Who likes Secret Hitler?
query_167	Who likes Capybaras?
query_168	Who likes Geologists?
query_169	Who likes Soy Sauce?
query_170	Who likes Atolls?
query_171	Who likes Relaxation?
query_172	Who likes Teff?
query_173	Who likes Scuba Diving?
query_174	Who likes Mustard Seed?
query_175	Who likes the Chicago Cubs?
query_176	Who likes Orange Soda?
query_177	Who likes Strawberries?
query_178	Who likes Folk Music?
query_179	Who likes Sloths?
query_180	Who likes Beignets?
query_181	Who likes Tango Dancing?
query_182	Who likes The Viking Age?
query_183	Who likes Lap Swimming?
query_184	Who likes Journalists?
query_185	Who likes Coconut Yogurt?
query_186	Who likes Singing?
query_187	Who likes Graphic Design?
query_188	Who likes Diamonds?
query_189	Who likes Post-War Boom?
query_190	Who likes Oatmeal Raisin Cookies?
query_191	Who likes Handball?
query_192	Who likes Warhammer 40?
query_193	Who likes Accountants?
query_194	Who likes Comets?
query_195	Who likes House Music?
query_196	Who likes Coasters?
query_197	Who likes English Muffins?
query_198	Who likes Travelogues?
query_199	Who likes Tumbling?
query_200	Who likes LARPing?
query_201	Who likes Feta Cheese?
query_202	Who likes Microwaves?
query_203	Who likes Cherry Blossom Trees?
query_204	Who likes Candle Holders?
query_205	Who likes Pineapple Juice?
query_206	Who likes Voluta?
query_207	Who likes Emus?
query_208	Who likes Fashion Design?
query_209	Who likes Minimalism?
query_210	Who likes Turntablism?
query_211	Who likes Dungeons & Dragons?
query_212	Who likes Genetics?
query_213	Who likes The Gilded Age?
query_214	Who likes Wombats?
query_215	Who likes Maned Wolves?
query_216	Who likes Banana Splits?
query_217	Who likes Anglerfish?
query_218	Who likes Edamame?
query_219	Who likes Creme Brulee?
query_220	Who likes Fireflies?
query_221	Who likes Wind?
query_222	Who likes Leatherworking?
query_223	Who likes Chemistry?
query_224	Who likes Obstacle Course Racing?
query_225	Who likes The Industrial Revolution?
query_226	Who likes Humor?
query_227	Who likes Disc Golf?
query_228	Who likes Star Anise?
query_229	Who likes Pad Thai?
query_230	Who likes Lilies?
query_231	Who likes Panna Cotta?
query_232	Who likes Belonging?
query_233	Who likes Asafoetida?
query_234	Who likes Astronauts?
query_235	Who likes Steppes?
query_236	Who likes Embroidery?
query_237	Who likes Steamed Vegetables?
query_238	Who likes Ferns?
query_239	Who likes Centipedes?
query_240	Who likes the Detroit Tigers?
query_241	Who likes Basil?
query_242	Who likes Welders?
query_243	Who likes Ball Python Snakes?
query_244	Who likes Powdered Sugar?
query_245	Who likes Willow Trees?
query_246	Who likes The Space Age?
query_247	Who likes Performing Arts Studies?
query_248	Who likes Candy Canes?
query_249	Who likes Lo-fi music?
query_250	Who likes Flax Seeds?
query_251	Who likes Millipedes?
query_252	Who likes Chainsaws?
query_253	Who likes Necklaces?
query_254	Who likes Affogatos?
query_255	Who likes Gold?
query_256	Who likes Timor Pythons?
query_257	Who likes Mastery?
query_258	Who likes Gratitude?
query_259	Who likes Parfaits?
query_260	Who likes Videography?
query_261	Who likes Making Snow Angels?
query_262	Who likes Agate?
query_263	Who likes Dancers?
query_264	Who likes Pelicans?
query_265	Who likes Pansies?
query_266	Who likes Coaches?
query_267	Who likes Fried Chicken?
query_268	Who likes Pistol Shrimp?
query_269	Who likes Friendship?
query_270	Who likes Shuffleboard?
query_271	Who likes Waterfalls?
query_272	Who likes Sunrise?
query_273	Who likes Eggs Benedict?
query_274	Who likes Clams?
query_275	Who likes Eggnog?
query_276	Who likes Mountains?
query_277	Who likes Tagalongs?
query_278	Who likes Futurism?
query_279	Who likes Music Theory?
query_280	Who likes Lemonade?
query_281	Who likes Upside-Down Cakes?
query_282	Who likes Silver?
query_283	Who likes Linguists?
query_284	Who likes Stingrays?
query_285	Who likes Late Antiquity?
query_286	Who likes Stalagmites?
query_287	Who likes Shorts?
query_288	Who likes Havarti?
query_289	Who likes Balsamic Vinegar?
query_290	Who likes Toxicology?
query_291	Who likes Scrambled Eggs?
query_292	Who likes Arugula?
query_293	Who likes Autonomy?
query_294	Who likes French Fries?
query_295	Who likes Scissors?
query_296	Who likes Passion Flowers?
query_297	Who likes Cool Breezes?
query_298	Who likes Tarantulas?
query_299	Who likes Sea Cucumbers?
query_300	Who likes Crayfish?
query_301	Who likes Freediving?
query_302	Who likes Begonias?
query_303	Who likes Visiting National Parks?
query_304	Who likes Sparkling Water?
query_305	Who likes Soul Music?
query_306	Who likes Elevators?
query_307	Who likes Songwriting?
query_308	Who likes the Kansas City Chiefs?
query_309	Who likes Lightbulbs?
query_310	Who likes White Chocolate Brownies?
query_311	Who likes Collaboration?
query_312	Who likes Excitement?
query_313	Who likes Ethics?
query_314	Who likes Blue Whales?
query_315	Who likes Plumbers?
query_316	Who likes Toolboxes?
query_317	Who likes Salsa Dancing?
query_318	Who likes Young Adult Fiction?
query_319	Who likes Antiquing?
query_320	Who likes Nail Art?
query_321	Who likes Injera?
query_322	Who likes Poke Bowls?
query_323	Who likes Rubies?
query_324	Who likes Ciabatta?
query_325	Who likes Protein Bars?
query_326	Who likes Bongos?
query_327	Who likes Soldering Irons?
query_328	Who likes Origami?
query_329	Who likes Spinach?
query_330	Who likes Triumph?
query_331	Who likes Word Searches?
query_332	Who likes Bulldog Bats?
query_333	Who likes Caves?
query_334	Who likes Game Shows?
query_335	Who likes Swordfish?
query_336	Who likes Coconut Flour?
query_337	Who likes Watercolor Painting?
query_338	Who likes Film scores?
query_339	Who likes the San Francisco Giants?
query_340	Who likes Sitars?
query_341	Who likes Kayaking?
query_342	Who likes Whittling?
query_343	Who likes Brown Rice?
query_344	Who likes Yoga?
query_345	Who likes Zip Ties?
query_346	Who likes Tundra?
query_347	Who likes Foxgloves?
query_348	Who likes Pyrite?
query_349	Who likes Synchronicity?
query_350	Who likes Potato Chips?
query_351	Who likes Solitaire?
query_352	Who likes Pilates?
query_353	Who likes Paralegals?
query_354	Who likes Salsa Dip?
query_355	Who likes Sycamore Trees?
query_356	Who likes Placemats?
query_357	Who likes Sneakers?
query_358	Who likes Indie Music?
query_359	Who likes Cymbals?
query_360	Who likes Pulled Pork?
query_361	Who likes Ricotta?
query_362	Who likes Baroque Music?
query_363	Who likes Double Basses?
query_364	Who likes Gardenias?
query_365	Who likes Bird of Paradise Flowers?
query_366	Who likes Lavash?
query_367	Who likes the Seattle Mariners?
query_368	Who likes Early Modern Period?
query_369	Who likes Smoked Paprika?
query_370	Who likes Punk Rock?
query_371	Who likes Rowing?
query_372	Who likes Apple Cider Vinegar?
query_373	Who likes Halva?
query_374	Who likes Bluegrass Music?
query_375	Who likes Paintbrushes?
query_376	Who likes Tilapia?
query_377	Who likes Slide Rules?
query_378	Who likes Wakeboarding?
query_379	Who likes Puffins?
query_380	Who likes Zoology?
query_381	Who likes Televisions?
query_382	Who likes The Ottoman Empire?
query_383	Who likes Landscaping?
query_384	Who likes Platypuses?
query_385	Who likes Role-Playing Video Games?
query_386	Who likes Walking Leaves?
query_387	Who likes Imagination?
query_388	Who likes Magnifying Glasses?
query_389	Who likes Fashion Photography?
query_390	Who likes Rose Quartz?
query_391	Who likes Walnuts?
query_392	Who likes Foraging?
query_393	Who likes Patience?
query_394	Who likes Tectonic Plates?
query_395	Who likes Gecko Lizards?
query_396	Who likes Enthusiasm?
query_397	Who likes Pygmy Rabbits?
query_398	Who likes Hot Dogs?
query_399	Who likes Microscopes?
query_400	Who likes Kingfishers?
query_401	Who likes Alligators?
query_402	Who likes Bartenders?
query_403	Who likes Supernovae?
query_404	Who likes Utility Knives?
query_405	Who likes Yeti Crabs?
query_406	Who likes Toffee?
query_407	Who likes Lyrebirds?
query_408	Who likes Coriander?
query_409	Who likes Roasted Vegetables?
query_410	Who likes Slippers?
query_411	Who likes Speakers?
query_412	Who likes Reverence?
query_413	Who likes Sea shanties?
query_414	Who likes Fennel?
query_415	Who likes the Houston Astros?
query_416	Who likes Mathematics?
query_417	Who likes Boots?
query_418	Who likes Bonsai Trees?
query_419	Who likes Pocket Watches?
query_420	Who likes Garnets?
query_421	Who likes Marmalade?
query_422	Who likes Picture Frames?
query_423	Who likes Rye Bread?
query_424	Who likes Black Holes?
query_425	Who likes The Wild West?
query_426	Who likes Baking Soda?
query_427	Who likes Sheet Cakes?
query_428	Who likes Sea Urchins?
query_429	Who likes Caps?
query_430	Who likes Fireplaces?
query_431	Who likes The Sound of Wind in the Trees?
query_432	Who likes Olive Oil?
query_433	Who likes Ginger Ale Soda?
query_434	Who likes Peninsulas?
query_435	Who likes Kitesurfing?
query_436	Who likes Sprinkles?
query_437	Who likes Lotus Flowers?
query_438	Who likes Bakers?
query_439	Who likes Work Gloves?
query_440	Who likes Guinea Pigs?
query_441	Who likes Caracals?
query_442	Who likes Wallets?
query_443	Who likes Drama Movies?
query_444	Who likes Stargazing?
query_445	Who likes Power Walking?
query_446	Who likes Botany?
query_447	Who likes Nebulae?
query_448	Who likes the Tampa Bay Rays?
query_449	Who likes Action Video Games?
query_450	Who likes Tuna Salads?
query_451	Who likes Spinning?
query_452	Who likes Radios?
query_453	Who likes Milanos?
query_454	Who likes Stair Climbing?
query_455	Who likes Green Peppercorns?
query_456	Who likes Animators?
query_457	Who likes Oil Painting?
query_458	Who likes Bay Leaves?
query_459	Who likes Orchid Mantises?
query_460	Who likes Bee-eaters?
query_461	Who likes Feudal Japan?
query_462	Who likes Mathematicians?
query_463	Who likes Chess?
query_464	Who likes Jeans?
query_465	Who likes Volleyball?
query_466	Who likes Historians?
query_467	Who likes Bibimbap?
query_468	Who likes Financiers?
query_469	Who likes Dishwashers?
query_470	Who likes Sapphires?
query_471	Who likes Peonies?
query_472	Who likes Coffee Tables?
query_473	Who likes Stairs?
query_474	Who likes Thriller Literature?
query_475	Who likes Egg Salads?
query_476	Who likes Spider Plants?
query_477	Who likes Savannas?
query_478	Who likes The Regency Era?
query_479	Who likes Margarine?
query_480	Who likes Overalls?
query_481	Who likes Orchids?
query_482	Who likes Potato Bread?
query_483	Who likes the Oakland Athletics?
query_484	Who likes Soap Making?
query_485	Who likes Onion Rings?
query_486	Who likes Clue?
query_487	Who likes Cashews?
query_488	Who likes Peas?
query_489	Who likes Kombucha?
query_490	Who likes Fire Extinguishers?
query_491	Who likes Ladders?
query_492	Who likes Buttes?
query_493	Who likes Napkins?
query_494	Who likes Hamburgers?
query_495	Who likes Basins?
query_496	Who likes Ketchup?
query_497	Who likes Gelatin?
query_498	Who likes Urban Exploration?
query_499	Who likes Slugs?
query_500	Who likes Ancient Egypt?
query_501	Who likes Recorders?
query_502	Who likes the Carolina Panthers?
query_503	Who likes Pharaoh Ants?
query_504	Who likes Garbanzo Beans?
query_505	Who likes Sudoku Puzzles?
query_506	Who likes Traveling?
query_507	Who likes Oak Trees?
query_508	Who likes Relief?
query_509	Who likes Philosophy?
query_510	Who likes Sand Dollars?
query_511	Who likes Panda Bears?
query_512	Who likes BMX Biking?
query_513	Who likes Oolong Tea?
query_514	Who likes Stalactites?
query_515	Who likes Djembes?
query_516	Who likes The Age of Enlightenment?
query_517	Who likes Fairy Tales?
query_518	Who likes Linzer Tortes?
query_519	Who likes Tandoori Chicken?
query_520	Who likes Snowboarding?
query_521	Who likes The Scent of Pine Needles?
query_522	Who likes Petunias?
query_523	Who likes Software Developers?
query_524	Who likes Crocheting?
query_525	Who likes Honeydew Melons?
query_526	Who likes Bingo?
query_527	Who likes Folders?
query_528	Who likes Marathon Running?
query_529	Who likes The Roman Empire?
query_530	Who likes Pilots?
query_531	Who likes Canaries?
query_532	Who likes Chrysanthemums?
query_533	Who likes Mantis Shrimp?
query_534	Who likes Legacy?
query_535	Who likes Robes?
query_536	Who likes Dragonflies?
query_537	Who likes Legends?
query_538	Who likes Bananagrams?
query_539	Who likes Nudibranchs?
query_540	Who likes Machinists?
query_541	Who likes Donkeys?
query_542	Who likes Immunology?
query_543	Who likes Catfish?
query_544	Who likes Architecture?
query_545	Who likes Gerenuks?
query_546	Who likes Bookbinding?
query_547	Who likes Meteorology?
query_548	Who likes Turquoise?
query_549	Who likes Statistics?
query_550	Who likes Sunglasses?
query_551	Who likes Cinnamon Rolls?
query_552	Who likes Meatloaf?
query_553	Who likes Screen Printing?
query_554	Who likes River Otters?
query_555	Who likes Harps?
query_556	Who likes Cucumbers?
query_557	Who likes Water Buffalo?
query_558	Who likes Environmental Engineering?
query_559	Who likes Mural Painting?
query_560	Who likes Canasta?
query_561	Who likes Birdwatching?
query_562	Who likes Dahlias?
query_563	Who likes Track Cycling?
query_564	Who likes Pork Ribs?
query_565	Who likes Hip Hop Music?
query_566	Who likes Hoopoes?
query_567	Who likes Dragon's Blood Trees?
query_568	Who likes Cloud Watching?
query_569	Who likes Fenugreek?
query_570	Who likes Macarons?
query_571	Who likes Ceviche?
query_572	Who likes Cabbages?
query_573	Who likes Air Compressors?
query_574	Who likes Rock Climbing?
query_575	Who likes Hawaiian Pizzas?
query_576	Who likes Mixology?
query_577	Who likes Photojournalism?
query_578	Who likes Cannoli?
query_579	Who likes Quiches?
query_580	Who likes Simulation Video Games?
query_581	Who likes CrossFit?
query_582	Who likes Magnolia Trees?
query_583	Who likes Rice Cakes?
query_584	Who likes Mason Bees?
query_585	Who likes Block Printing?
query_586	Who likes Mochi?
query_587	Who likes Catharsis?
query_588	Who likes Allspice?
query_589	Who likes Candle Making?
query_590	Who likes The Stone Age?
query_591	Who likes Zebra Cakes?
query_592	Who likes Political Science?
query_593	Who likes Wrestling?
query_594	Who likes Umbrellas?
query_595	Who likes Rings?
query_596	Who likes Crows?
query_597	Who likes Emeralds?
query_598	Who likes Ambrosia Salads?
query_599	Who likes Smoke Detectors?
query_600	Who likes Clamps?
query_601	Who likes Zebras?
query_602	Who likes Sailing?
query_603	Who likes Turkish Delight?
query_604	Who likes Crumbles?
query_605	Who likes Knitting?
query_606	Who likes Patios?
query_607	Who likes Spaghetti Squash?
query_608	Who likes Black-eyed Susans?
query_609	Who likes Whipped Cream?
query_610	Who likes Solitude?
query_611	Who likes Cedar Trees?
query_612	Who likes Rosemary?
query_613	Who likes Poetry Writing?
query_614	Who likes Aquamarine?
query_615	Who likes Snails?
query_616	Who likes Reading?
query_617	Who likes Lamb?
query_618	Who likes Cranberries?
query_619	Who likes Phase 10?
query_620	Who likes Shallots?
query_621	Who likes Tape Dispensers?
query_622	Who likes Batik?
query_623	Who likes Actors?
query_624	Who likes Venus Flytraps?
query_625	Who likes Icebox Cakes?
query_626	Who likes Horses?
query_627	Who likes Brooms?
query_628	Who likes Roses?
query_629	Who likes Moonstone?
query_630	Who likes Poker?
query_631	Who likes Thrifting?
query_632	Who likes Hummingbirds?
query_633	Who likes Praying Mantises?
query_634	Who likes Rice Krispie Treats?
query_635	Who likes Ostriches?
query_636	Who likes Asteroids?
query_637	Who likes Podcasting?
query_638	Who likes Actuaries?
query_639	Who likes Biographies?
query_640	Who likes Apple Pies?
query_641	Who likes Cowbells?
query_642	Who likes Tillandsia?
query_643	Who likes Tap Dancing?
query_644	Who likes Mussels?
query_645	Who likes Irises?
query_646	Who likes Symmetry?
query_647	Who likes Reggae Music?
query_648	Who likes Macchiatos?
query_649	Who likes Seahorses?
query_650	Who likes Lagoons?
query_651	Who likes Carcassonne?
query_652	Who likes Carpenters?
query_653	Who likes Sheep?
query_654	Who likes Llamas?
query_655	Who likes Ash Trees?
query_656	Who likes Iguanas?
query_657	Who likes Pens?
query_658	Who likes Nature Journaling?
query_659	Who likes Goldfish Crackers?
query_660	Who likes Trombones?
query_661	Who likes Woodpeckers?
query_662	Who likes River Deltas?
query_663	Who likes Yo-yos?
query_664	Who likes Cliffs?
query_665	Who likes Polar Bears?
query_666	Who likes Bushcraft?
query_667	Who likes The Digital Age?
query_668	Who likes Mystery Literature?
query_669	Who likes Mops?
query_670	Who likes Butchers?
query_671	Who likes Road Cycling?
query_672	Who likes Calamari?
query_673	Who likes Acrobatics?
query_674	Who likes Icebergs?
query_675	Who likes Workbenches?
query_676	Who likes Theology?
query_677	Who likes Folklore?
query_678	Who likes Chewing Gum?
query_679	Who likes Criminology?
query_680	Who likes Triangles?
query_681	Who likes Tiger's Eye?
query_682	Who likes Florists?
query_683	Who likes Sunstone?
query_684	Who likes Soy Milk?
query_685	Who likes Nutmeg?
query_686	Who likes Layer Cakes?
query_687	Who likes Geology?
query_688	Who likes Mallets?
query_689	Who likes Cribbage?
query_690	Who likes Thyme?
query_691	Who likes Ravens?
query_692	Who likes Cuttlefish?
query_693	Who likes Conga Drums?
query_694	Who likes Moon?
query_695	Who likes Speed Skating?
query_696	Who likes Sugar Gliders?
query_697	Who likes Spontaneity?
query_698	Who likes Cross-stitching?
query_699	Who likes Metalworking?
query_700	Who likes the Los Angeles Rams?
query_701	Who likes Pheasant?
query_702	Who likes Windsurfing?
query_703	Who likes Goliath Beetles?
query_704	Who likes Nightstands?
query_705	Who likes Shovels?
query_706	Who likes Suits?
query_707	Who likes Lucid Dreaming?
query_708	Who likes Having a snowball fight?
query_709	Who likes Weightlifting?
query_710	Who likes Blogging?
query_711	Who likes Barbers?
query_712	Who likes Vaporwave?
query_713	Who likes Haddock?
query_714	Who likes Sourdough Bread?
query_715	Who likes Vampire Squid?
query_716	Who likes Ventriloquism?
query_717	Who likes the New York Mets?
query_718	Who likes The Sound of a Crackling Fire?
query_719	Who likes Honesty?
query_720	Who likes Roller Skating?
query_721	Who likes Fika?
query_722	Who likes Quasars?
query_723	Who likes Geocaching?
query_724	Who likes Electric Guitars?
query_725	Who likes Celery Seed?
query_726	Who likes Rattlesnakes?
query_727	Who likes Wheelbarrows?
query_728	Who likes Architectural Photography?
query_729	Who likes Staplers?
query_730	Who likes Gouda?
query_731	Who likes Jupiter?
query_732	Who likes Aspen Trees?
query_733	Who likes Pecan Pies?
query_734	Who likes Seals?
query_735	Who likes Shower Curtains?
query_736	Who likes White Tea?
query_737	Who likes Wallabies?
query_738	Who likes Authors?
query_739	Who likes Tights?
query_740	Who likes Pictionary?
query_741	Who likes the Minnesota Twins?
query_742	Who likes Spruce Trees?
query_743	Who likes Drum Kits?
query_744	Who likes Parkour?
query_745	Who likes Puzzle Video Games?
query_746	Who likes Tulips?
query_747	Who likes Celery with peanut butter?
query_748	Who likes Magic Tricks?
query_749	Who likes Cosplay?
query_750	Who likes Lawn Mowers?
query_751	Who likes Quetzals?
query_752	Who likes Pot Pies?
query_753	Who likes Notebooks?
query_754	Who likes Inline Skating?
query_755	Who likes Mechanical Engineering?
query_756	Who likes Ancient Greece?
query_757	Who likes Sea Anemones?
query_758	Who likes Improvisational Theater?
query_759	Who likes Clafoutis?
query_760	Who likes Robotics?
query_761	Who likes Herbalism?
query_762	Who likes Farmers?
query_763	Who likes Watches?
query_764	Who likes Byzantine Art?
query_765	Who likes Exploding Kittens?
query_766	Who likes Cassette Players?
query_767	Who likes Cockatiels?
query_768	Who likes Lacrosse?
query_769	Who likes Americanos?
query_770	Who likes Daffodils?
query_771	Who likes Autobiographies?
query_772	Who likes Mushroom Hunting?
query_773	Who likes Anchovies?
query_774	Who likes Mental Clarity?
query_775	Who likes the Detroit Lions?
query_776	Who likes Badminton?
query_777	Who likes Jasmine?
query_778	Who likes Falafel?
query_779	Who likes Industrial music?
query_780	Who likes Red Velvet Cakes?
query_781	Who likes Lasagna?
query_782	Who likes Beatboxing?
query_783	Who likes Blues Music?
query_784	Who likes Acoustic Guitars?
query_785	Who likes Violas?
query_786	Who likes Routers?
query_787	Who likes The Inca Empire?
query_788	Who likes Post-it Notes?
query_789	Who likes Essays?
query_790	Who likes Scrapbooking?
query_791	Who likes Cheerios?
query_792	Who likes Tubas?
query_793	Who likes Triathlons?
query_794	Who likes Beef Ribs?
query_795	Who likes Tonic Water?
query_796	Who likes Madeleines?
query_797	Who likes Sweet Potatoes?
query_798	Who likes Sitcoms?
query_799	Who likes Gorillas?
